Taxa	Alice00-1mio.daa	Alice01-1mio.daa	Alice03-1mio.daa	Alice06-1mio.daa	Alice08-1mio.daa	Alice34-1mio.daa
-2	5593.0	4892.0	5761.0	4370.0	4349.0	6123.0
2	41121.0	43419.0	37339.0	34290.0	30732.0	43329.0
84999	291.0	530.0	515.0			201.0
84998	345.0	233.0	306.0	420.0		195.0
417295	5.0	7.0				
2005525	262.0	297.0	301.0	267.0	140.0	183.0
1211417	1383.0	1241.0	3089.0			
454154	455.0	809.0	1164.0	639.0	1749.0	
459786	2080.0	1569.0	2370.0	562.0	601.0	2062.0
85004	195.0	93.0	76.0			31.0
454155	452.0	725.0	1048.0	588.0	1649.0	
2005519	154.0	164.0	19.0			151.0
445970	1151.0	1249.0	1051.0			936.0
1896969	785.0	1118.0				
171550	1638.0	2207.0	654.0	28.0	6.0	882.0
310298	1369.0	1241.0				1048.0
543	865.0					
171549	83331.0	91197.0	58254.0	101351.0	82279.0	97002.0
171552	197.0	260.0	403.0	264.0	610.0	66.0
1897022	1314.0	819.0	2227.0			1410.0
283168	1584.0	1304.0				
671267	391.0			661.0		
12333	9.0	14.0	15.0			
397864	730.0	919.0	309.0			1667.0
1193532	527.0		410.0			
397865	848.0	1063.0				1878.0
561	378.0					
1897005	349.0	764.0				
186928	238.0	174.0	416.0	109.0	184.0	207.0
946234	472.0	459.0	651.0	65.0	62.0	374.0
876090	614.0	520.0	104.0			339.0
28216	53.0	50.0		3.0	6.0	36.0
28221	97.0	375.0				
47678	3115.0	1487.0				2522.0
39491	970.0	800.0	1949.0	674.0	1767.0	673.0
39492	1263.0	980.0	2146.0			704.0
1897048	655.0	508.0	981.0			703.0
1897049	466.0	398.0	776.0			411.0
1897045	541.0	419.0	985.0			648.0
1897039	814.0	933.0				1585.0
166486	967.0	481.0	670.0			
572511	1053.0	919.0	2358.0	1546.0	1420.0	706.0
1897028	354.0	410.0				
1897025	491.0	716.0				
40544	1459.0	985.0				1373.0
40545	1229.0	823.0				1203.0
