Taxa	Bob00-1mio.daa	Bob01-1mio.daa	Bob03-1mio.daa	Bob06-1mio.daa	Bob08-1mio.daa	Bob34-1mio.daa
-2	4597.0	6448.0	4608.0	7354.0	6756.0	4527.0
2	42278.0	44588.0	33938.0	35156.0	37160.0	44946.0
338188	749.0	532.0				733.0
2005525	20.0	22.0	39.0	18.0	91.0	14.0
997891	615.0					468.0
216851	1024.0	2875.0		820.0		2027.0
445970	1875.0	2754.0				1957.0
171550	253.0	359.0	81.0		133.0	313.0
292632	782.0	1052.0				652.0
171549	98907.0	89752.0	124429.0	87929.0	182286.0	98951.0
139043	2325.0	2318.0	1018.0	1408.0	1838.0	1469.0
171552	274.0	195.0	227.0	177.0	195.0	224.0
1897022	1530.0	3147.0				1224.0
1897023	441.0					
283168	647.0	2356.0				836.0
671267	2469.0	1757.0	5614.0	3440.0	4134.0	2324.0
815	10113.0	10046.0	6602.0	5485.0	6708.0	11522.0
816	423614.0	355001.0	441647.0	318223.0	384387.0	426137.0
817	5518.0	5780.0	1866.0	1597.0	2384.0	5179.0
818	1534.0	1511.0	677.0	684.0	919.0	1555.0
186928	238.0	396.0	460.0	629.0	242.0	113.0
1853231	69.0	210.0				72.0
820	16819.0	19263.0	1100.0	3788.0	4349.0	21571.0
821	15603.0	11885.0	15394.0	9717.0	11748.0	13445.0
823	412.0	565.0				472.0
1739298	621.0	568.0			597.0	516.0
28216	236.0	59.0				215.0
1262889	2068.0	2624.0	6291.0	2674.0		643.0
512313	3333.0	3784.0	3565.0	908.0	448.0	4643.0
47678	2593.0	2930.0	2863.0	4916.0	5534.0	1140.0
541000	635.0	1436.0	456.0	776.0	561.0	734.0
39491	541.0	2483.0	1781.0	2375.0	1792.0	787.0
838	832.0	757.0	1143.0	793.0	983.0	873.0
387661	529.0					
841	6696.0	7955.0	5004.0	2307.0	1028.0	1113.0
417613	438.0	403.0	79.0	353.0	148.0	
538948	216.0	254.0				280.0
585543	455.0	506.0				561.0
411479	2005.0	2325.0				2546.0
469590	617.0	443.0				643.0
411476	906.0	641.0				673.0
853	688.0	1453.0				1262.0
572511	672.0	911.0	1004.0	1958.0	1445.0	1066.0
1235787	822.0	948.0				1020.0
40544	8761.0	1816.0				7002.0
40545	6645.0	1449.0				5162.0
360807	6459.0	7419.0	3331.0	1310.0	987.0	668.0
39779	999.0	1361.0		719.0	456.0	1035.0
195950	531.0	506.0	120.0	677.0	5911.0	522.0
1118061	759.0	881.0				1108.0
1379690	539.0					
435590	784.0	538.0				627.0
239759	19846.0	28068.0	536.0		3829.0	23515.0
